DisNo.,Classification Key,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Location,OFDA/BHA Response,Declaration,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2001-0473-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Siren city (Burnett district, Wisconsin province)",No,No,,Kph,2001,6,18.0,2001,6.0,18.0,3.0,8.0,360.0,,368.0,,,10000.0,17208.0,58.11147437,"[{""adm2_code"":31730,""adm2_name"":""Burnett""},{""adm2_code"":31789,""adm2_name"":""Washburn""}]",2003-07-01,2023-09-25
2001-0474-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Brainerd city (Crow King district, Minnesota province)",No,No,,Kph,2001,6,13.0,2001,6.0,13.0,,,225.0,,225.0,,,,,58.11147437,"[{""adm2_code"":30009,""adm2_name"":""Crow Wing""}]",2003-07-01,2023-09-25
2001-0477-USA,nat-met-sto-sto,Meteorological,Storm,Storm (General),USA,United States of America,Northern America,"Watkins area (Adams district, Colorado province)",No,No,,Kph,2001,6,21.0,2001,6.0,21.0,,2.0,120.0,,122.0,,,,,58.11147437,"[{""adm2_code"":154738,""adm2_name"":""Adams""}]",2003-07-01,2023-09-25
2001-0564-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",No,No,,Kph,2001,10,10.0,2001,10.0,10.0,,7.0,300.0,,307.0,,,,,58.11147437,"[{""adm2_code"":30372,""adm2_name"":""Hamilton""},{""adm2_code"":30392,""adm2_name"":""Merrick""},{""adm2_code"":30403,""adm2_name"":""Polk""},{""adm2_code"":30882,""adm2_name"":""Washita""}]",2003-07-01,2023-09-25
2001-0566-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Howard, Prince George's districts (Maryland province)",No,No,,Kph,2001,9,24.0,2001,9.0,24.0,2.0,50.0,,1000.0,1050.0,,,30000.0,51625.0,58.11147437,"[{""adm2_code"":29884,""adm2_name"":""Howard""},{""adm2_code"":29887,""adm2_name"":""Prince George's""}]",2003-07-01,2023-09-25
2001-0601-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Pasadena city (Harris district, Texas province)",No,No,,Kph,2001,10,11.0,2001,10.0,11.0,,,360.0,,360.0,,,4000.0,6883.0,58.11147437,"[{""adm2_code"":31300,""adm2_name"":""Harris""}]",2003-07-01,2023-09-25
2001-0602-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Hondo city (Medina district, Texas province)",No,No,,Kph,2001,10,12.0,2001,10.0,12.0,,2.0,1800.0,150.0,1952.0,,,7000.0,12046.0,58.11147437,"[{""adm2_code"":31362,""adm2_name"":""Medina""}]",2003-07-01,2023-09-25
2001-0771-USA,nat-met-sto-sto,Meteorological,Storm,Storm (General),USA,United States of America,Northern America,"Tennesse, Kentucky provinces",No,No,,Kph,2001,8,,2001,8.0,,11.0,,,200.0,200.0,,,,,58.11147437,"[{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3256,""adm1_name"":""Tennessee""}]",2003-07-01,2023-09-25
2001-0773-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Jakson town (Dakota district, Nebraska province)",No,No,,Kph,2001,8,17.0,2001,8.0,17.0,,2.0,200.0,,202.0,,,3000.0,5162.0,58.11147437,"[{""adm2_code"":30353,""adm2_name"":""Dakota""}]",2003-07-01,2023-09-25
2002-0017-USA,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania,",No,No,114.0,Kph,2002,1,,2002,1.0,,24.0,,,,,,,,,59.03314408,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2003-07-01,2023-09-25
